[v3] device=mps params=1,928,611 batches/ep tr=1831 va=102 amp=True
[v3] img=256 batch=16 epochs=25 lr=0.0004 warmup=2 ema=0.999
[v3] no resume file at checkpoints/hand_seg_v3.last.pt, starting fresh.
[v3] ep 2 batch  950/1831 | run 0.3559 | lr 2.00e-04 | t 195s
[v3] ep 2 batch 1000/1831 | run 0.3546 | lr 2.00e-04 | t 205s
[v3] ep 2 batch 1050/1831 | run 0.3538 | lr 2.00e-04 | t 215s
[v3] ep 2 batch 1100/1831 | run 0.3525 | lr 2.00e-04 | t 225s
[v3] ep 2 batch 1150/1831 | run 0.3508 | lr 2.00e-04 | t 235s
[v3] ep 2 batch 1200/1831 | run 0.3497 | lr 2.00e-04 | t 245s
[v3] ep 2 batch 1250/1831 | run 0.3483 | lr 2.00e-04 | t 255s
[v3] ep 2 batch 1300/1831 | run 0.3473 | lr 2.00e-04 | t 265s
[v3] ep 2 batch 1350/1831 | run 0.3463 | lr 2.00e-04 | t 275s
[v3] ep 2 batch 1400/1831 | run 0.3451 | lr 2.00e-04 | t 285s
[v3] ep 2 batch 1450/1831 | run 0.3442 | lr 2.00e-04 | t 295s
[v3] ep 2 batch 1500/1831 | run 0.3428 | lr 2.00e-04 | t 304s
[v3] ep 2 batch 1550/1831 | run 0.3420 | lr 2.00e-04 | t 314s
[v3] ep 2 batch 1600/1831 | run 0.3406 | lr 2.00e-04 | t 324s
[v3] ep 2 batch 1650/1831 | run 0.3398 | lr 2.00e-04 | t 334s
[v3] ep 2 batch 1700/1831 | run 0.3389 | lr 2.00e-04 | t 344s
[v3] ep 2 batch 1750/1831 | run 0.3377 | lr 2.00e-04 | t 354s
[v3] ep 2 batch 1800/1831 | run 0.3369 | lr 2.00e-04 | t 364s
[v3] ep  2 | tr 0.3362 | vl_ema 0.1755 | iou_ema 0.7320 *NEW BEST* | total 1124s
[v3] ep 3 batch    0/1831 | run 0.2318 | lr 1.99e-04 | t 0s
[v3] ep 3 batch   50/1831 | run 0.2906 | lr 1.99e-04 | t 10s
[v3] ep 3 batch  100/1831 | run 0.2908 | lr 1.99e-04 | t 20s
[v3] ep 3 batch  150/1831 | run 0.2931 | lr 1.99e-04 | t 29s
[v3] ep 3 batch  200/1831 | run 0.2947 | lr 1.99e-04 | t 39s
[v3] ep 3 batch  250/1831 | run 0.2959 | lr 1.99e-04 | t 49s
[v3] ep 3 batch  300/1831 | run 0.2955 | lr 1.99e-04 | t 59s
[v3] ep 3 batch  350/1831 | run 0.2944 | lr 1.99e-04 | t 68s
[v3] ep 3 batch  400/1831 | run 0.2920 | lr 1.99e-04 | t 78s
[v3] ep 3 batch  450/1831 | run 0.2903 | lr 1.99e-04 | t 88s
[v3] ep 3 batch  500/1831 | run 0.2900 | lr 1.99e-04 | t 98s
[v3] ep 3 batch  550/1831 | run 0.2896 | lr 1.99e-04 | t 108s
[v3] ep 3 batch  600/1831 | run 0.2900 | lr 1.99e-04 | t 118s
[v3] ep 3 batch  650/1831 | run 0.2902 | lr 1.99e-04 | t 127s
[v3] ep 3 batch  700/1831 | run 0.2891 | lr 1.99e-04 | t 139s
